name,isin,ticker,price,pe_ratio
PI INDUSTRIES LIMITED,INE603J01030,PIIND.NS,4148.5,37.89969
RELIANCE INDUSTRIES LIMITED,INE002A01018,RELIANCE.NS,1537.6,29.862108
RITES LIMITED,INE320J01015,RITES.NS,280.55,35.024967
SANGHVI MOVERS LIMITED,INE989A01032,SANGHVIMOV.NS,275.3,15.218352
STATE BANK OF INDIA,INE062A01020,SBIN.NS,812.65,9.351554
SBI CARDS & PAYMENT SERVICES LIMITED,INE018E01016,SBICARD.NS,918.75,45.52775
SWIGGY LIMITED,INE00H001014,,,
TATA COMMUNICATIONS LIMITED,INE151A01013,TATACOMM.NS,1763.5,30.971199
TATA CHEMICALS LIMITED,INE092A01019,TATACHEM.NS,925.85,117.1962
